run_id	timestamp	hypothesis	pipeline	dataset_revision	eval_split	rows	truth_instances	predictions	presence_precision	presence_recall	instance_precision	instance_recall	average_precision	mean_iou	count_accuracy	count_mae	latency_p50_ms	latency_p95_ms	memory_mb	model_size_mb	status	decision	notes
baseline-signverod-20260813	2026-08-13	Current production extractor after fallback threshold fix	current-extractor	SignverOD protected shards sha256 recorded in docs	external-default	2299	3962	177			0.1130	0.0050	0.000584	0.6823	0.1048	1.7125					complete	baseline	Presence exact accuracy 0.1288; precision and recall were not emitted by the evaluator; external domain-shift baseline, not a release gate
baseline-synthetic-heldout-20260813	2026-08-13	Current production extractor on subject-disjoint synthetic holdout	current-extractor	signature_benchmark_v1	test	3	4	4	1.0000	1.0000	1.0000	1.0000	1.000000	0.7843	1.0000	0.0000					complete	baseline	Synthetic evidence only; not combined with external metrics
